nombre,min_jugados,país,posición,edad
Jair Paula,1911.00,Brasil,Defensa,20
Iago Teodoro,1886.00,Brasil,Defensa,20
Gilberto Junior,2600.00,Brasil,Defensa,20
João Victor,815.00,Brasil,Defensa,18
Arthur Gabriel,2593.00,Brasil,Defensa,20
Bruno Alves,2390.00,Brasil,Defensa,20
Rayan Lucas,1986.00,Brasil,Defensa,20
João Cruz,1155.00,Brasil,Mediocampista,19
Gustavo Prado,747.00,Brasil,Mediocampista,20
Gabriel Moscardo,256.00,Brasil,Mediocampista,20
Leandrinho,652.00,Brasil,Mediocampista,20
Igor Schlemper,864.00,Brasil,Mediocampista,20
Rafael Coutinho,2633.00,Brasil,Mediocampista,20
Isaque,713.00,Brasil,Delantero,18
Matheus Alves,1451.00,Brasil,Delantero,20
Lucas Ferreira,2005.00,Brasil,Delantero,18
Murilo Rhikman,1690.00,Brasil,Delantero,19
Erick Machado,2268.00,Brasil,Delantero,18
Pedro Henrique,2036.00,Brasil,Delantero,20
Nathan Fernandes,546.00,Brasil,Delantero,20
Luighi Hanri,1153.00,Brasil,Delantero,19
Kaique Kenji,1540.00,Brasil,Delantero,19
Luca Meirelles,1509.00,Brasil,Delantero,18
Juan Liceaga,1710.00,México,Arquero,18
Emmanuel Ochoa,1350.00,México,Arquero,20
Pablo Lara,1710.00,México,Arquero,19
Diego Ochoa,2161.00,México,Defensa,20
César Bustos,2146.00,México,Defensa,20
José Pachuca,1617.00,México,Defensa,20
Everardo López,1629.00,México,Defensa,20
Obed Vargas,3380.00,México,Mediocampista,20
Elías Montiel,3410.00,México,Mediocampista,19
Iker Fimbres,2248.00,México,Mediocampista,20
Gilberto Mora,1678.00,México,Mediocampista,17
Karol Velázquez,1972.00,México,Mediocampista,20
Hugo Camberos,2158.00,México,Mediocampista,18
César Garza,848.00,México,Mediocampista,20
Amaury Morales,2251.00,México,Mediocampista,19
Juan Uribe,1979.00,México,Mediocampista,19
Alexéi Domínguez,1691.00,México,Delantero,20
Ángel Chavez,1535.00,México,Delantero,19
Tahiel Jiménez,1226.00,México,Delantero,19
Jonathan Padilla,1224.00,México,Delantero,19
Oswaldo Virgen,1766.00,México,Delantero,20
Diego Sánchez,756.00,México,Delantero,19
Mateo Levy,437.00,México,Delantero,19
Fran González,270.00,España,Arquero,20
Vicent Abril,1800.00,España,Arquero,20
Raúl Jiménez,90.00,España,Arquero,19
Jon Martín,1335.00,España,Defensa,19
Pau Navarro,1317.00,España,Defensa,20
Andrés Cuenca,1809.00,España,Defensa,18
Diego Aguado,1009.00,España,Defensa,18
Jesús Fortea,1005.00,España,Defensa,18
Rodrigo Mendoza,1065.00,España,Defensa,20
Joel Roca,883.00,España,Mediocampista,20
Izan Merino,1278.00,España,Mediocampista,19
Cristian Perea,2627.00,España,Mediocampista,20
Julio Díaz,2574.00,España,Mediocampista,20
Peio Canales,1872.00,España,Mediocampista,20
Thiago Pitarch,32.00,España,Delantero,18
Iker Bravo,797.00,España,Delantero,20
David Mella,2754.00,España,Delantero,20
Rayane Belaid,2923.00,España,Delantero,20
Adrián Liso,2554.00,España,Delantero,20
Pablo García,1780.00,España,Delantero,19
Jan Virgili,1700.00,España,Delantero,19
Abdelhakim El Mesbahi,90.00,Marruecos,Arquero,20
Yanis Benchaouch,831.00,Marruecos,Arquero,19
Ibrahim Gomis,540.00,Marruecos,Arquero,20
Ismaël Baouf,1996.00,Marruecos,Defensa,19
Fouad Zahouani,724.00,Marruecos,Defensa,19
Hamza Koutoune,555.00,Marruecos,Defensa,19
Ismaïl Bakhty,454.00,Marruecos,Defensa,18
Ali Maamar,2337.00,Marruecos,Defensa,20
Takha Majni,172.00,Marruecos,Defensa,18
Mohammed Kebdani,90.00,Marruecos,Defensa,19
Naim Byar,1701.00,Marruecos,Defensa,20
Yassine Khalifi,1619.00,Marruecos,Mediocampista,20
Mohammed Hamony,478.00,Marruecos,Mediocampista,19
Saad El Haddad,378.00,Marruecos,Mediocampista,20
Anas Tajaouart,1557.00,Marruecos,Mediocampista,20
Hossam Essadak,1636.00,Marruecos,Mediocampista,20
Ilias Boumassaoudi,1051.00,Marruecos,Mediocampista,20
Othmane Maamma,476.00,Marruecos,Delantero,20
Gessime Yassine,1857.00,Marruecos,Delantero,19
Yassir Zabiri,498.00,Marruecos,Delantero,20
Younes El Bahraoui,597.00,Marruecos,Delantero,20
